Ticker,Retorno Total (%)_before,Capital Final_before,Win Rate (%)_before,Trades_before,Tempo Médio (Dias)_before,Lucro Médio (R$)_before,Max Drawdown (%)_before,Retorno Total (%)_after,Capital Final_after,Win Rate (%)_after,Trades_after,Tempo Médio (Dias)_after,Lucro Médio (R$)_after,Max Drawdown (%)_after,Retorno Δ (pp),Trades Δ,MaxDD Δ (pp)
B3SA3.SA,995.1,109509.76,33.33,24.0,44.42,396.24,-25.12,894.53,99452.75,30.43,23,36.87,-23.79,-25.87,-100.57000000000005,-1.0,-0.75
BBAS3.SA,1031.21,113121.46,55.0,20.0,67.05,656.07,-16.04,1155.31,125530.77,55.56,18,72.0,1418.38,-16.22,124.09999999999991,-2.0,-0.17999999999999972
CMIG4.SA,1211.56,131156.05,40.91,22.0,66.68,1416.18,-14.35,1190.97,129096.93,40.91,22,65.18,1322.59,-14.19,-20.589999999999918,0.0,0.16000000000000014
CSNA3.SA,994.26,109425.67,44.44,18.0,15.11,523.65,-13.16,1062.2,116219.93,41.18,17,14.35,954.11,-13.33,67.94000000000005,-1.0,-0.16999999999999993
ELET3.SA,956.75,105675.19,42.31,26.0,31.15,218.28,-15.05,1076.04,117604.01,43.48,23,32.83,765.39,-14.45,119.28999999999996,-3.0,0.6000000000000014
GGBR4.SA,833.7,93370.1,36.0,25.0,38.56,-265.2,-18.91,832.77,93276.86,34.78,23,37.61,-292.31,-18.42,-0.9300000000000637,-2.0,0.48999999999999844
ITUB4.SA,1066.18,116617.52,52.94,17.0,92.41,977.5,-11.96,1108.97,120897.4,53.33,15,95.07,1393.16,-13.02,42.789999999999964,-2.0,-1.0599999999999987
LREN3.SA,,,,,,,,942.59,104258.66,33.33,12,55.75,354.89,-19.6,,,
MGLU3.SA,1694.71,179470.71,50.0,22.0,29.05,3612.3,-14.18,1347.43,144742.7,56.25,16,33.19,2796.42,-16.61,-347.28,-6.0,-2.4299999999999997
PETR4.SA,1380.89,148089.28,46.67,30.0,50.53,1602.98,-13.95,1514.88,161487.52,61.54,26,50.54,2364.9,-15.58,133.99,-4.0,-1.6300000000000008
PRIO3.SA,1319.03,141902.87,37.93,29.0,23.21,1444.93,-18.04,1292.25,139225.33,33.33,24,23.58,1634.39,-19.58,-26.779999999999973,-5.0,-1.5399999999999991
RENT3.SA,1496.53,159653.27,56.25,16.0,59.75,3728.33,-11.08,1296.61,139661.06,53.33,15,53.67,2644.07,-11.59,-199.92000000000007,-1.0,-0.5099999999999998
SUZB3.SA,938.21,103821.47,36.36,22.0,36.18,173.7,-18.92,1287.36,138736.42,36.36,22,37.27,1760.75,-15.65,349.14999999999986,0.0,3.2700000000000014
VALE3.SA,1367.65,146765.47,45.45,22.0,53.0,2125.7,-16.26,1295.78,139577.62,45.0,20,52.7,1978.88,-16.84,-71.87000000000012,-2.0,-0.5799999999999983
WEGE3.SA,1983.54,208353.54,50.0,24.0,61.0,4514.73,-15.36,1882.95,198295.39,52.38,21,61.43,4680.73,-14.3,-100.58999999999992,-3.0,1.0599999999999987
