Ticker,Retorno Total (%),Win Rate (%),Trades,Profit Factor,Max Drawdown (%),Final Equity,Type
MGLU3.SA,322.92680669516176,40.0,175,1.3139766701036228,-40.11208102574326,42292.68066951618,B3
CASH3.SA,242.38144700524674,42.70833333333333,96,1.294538702826553,-64.31446977394997,34238.144700524674,B3
WEGE3.SA,70.6906726253147,38.04347826086957,184,1.172878676792806,-35.980473904581075,17069.06726253147,B3
PETR4.SA,48.91825218669352,37.30569948186528,193,1.1151155286251522,-40.64424361252566,14891.825218669352,B3
PETR3.SA,43.68862555045736,35.051546391752574,194,1.0974822665349002,-31.143663798618704,14368.862555045736,B3
BBAS3.SA,35.444686112534505,38.01169590643275,171,1.0867316599481145,-37.334460228544195,13544.468611253451,B3
CMIG4.SA,35.365865922708736,34.146341463414636,164,1.080427807557028,-38.695344161238665,13536.586592270874,B3
PRIO3.SA,31.169427216350275,37.22222222222222,180,1.041034864919347,-56.77575133509366,13116.942721635029,B3
RDOR3.SA,28.882404611340885,37.27272727272727,110,1.119120207213328,-34.8176757751064,12888.240461134088,B3
ASAI3.SA,25.584288701908076,34.831460674157306,89,1.0998992612509324,-44.76749521435687,12558.428870190808,B3
BEEF3.SA,20.110561148583916,34.810126582278485,158,1.0456765045579186,-33.35432502989668,12011.056114858391,B3
SBSP3.SA,11.15684525069025,32.73809523809524,168,1.0326371955157483,-27.010134700273497,11115.684525069026,B3
BPAC11.SA,9.701443992685576,33.52601156069364,173,1.0158540136494696,-65.46123845091208,10970.144399268558,B3
ALPA4.SA,3.313626845696005,36.627906976744185,172,1.0069125145213575,-48.706319085518125,10331.3626845696,B3
TOTS3.SA,-0.6954913622205683,32.947976878612714,173,0.9983096537826464,-48.761881940930444,9930.450863777944,B3
IGTI11.SA,-0.9311792363850158,33.33333333333333,69,0.9917435032660479,-45.9335232069178,9906.882076361499,B3
ITUB4.SA,-3.0686516947197595,33.14285714285714,175,0.9887638736856175,-40.173292359827926,9693.134830528024,B3
GGBR4.SA,-6.668731324368471,32.417582417582416,182,0.9861707553585948,-54.271165372426566,9333.126867563153,B3
TAEE11.SA,-7.8142852771687865,33.13609467455622,169,0.9529833193428138,-36.78139269838628,9218.571472283122,B3
USIM5.SA,-10.77655761019658,35.16483516483517,182,0.9757862402938133,-48.07842331643163,8922.344238980342,B3
BBDC4.SA,-19.547932345332985,33.14285714285714,175,0.9376464235463982,-54.508632806808635,8045.206765466702,B3
CMIN3.SA,-22.089548775744916,31.932773109243694,119,0.9193986587594326,-44.82520602795167,7791.045122425508,B3
CPLE6.SA,-24.468398735823815,31.976744186046513,172,0.9156841175470594,-56.225560171992214,7553.160126417619,B3
CSAN3.SA,-30.807236528498805,32.075471698113205,159,0.9069541715421674,-42.72924762643785,6919.276347150119,B3
HAPV3.SA,-32.144482060749645,33.75796178343949,157,0.9302342137411728,-77.47065413933088,6785.551793925036,B3
CSNA3.SA,-33.156107262322486,32.4468085106383,188,0.9343963088952745,-53.316700120002736,6684.389273767752,B3
EZTC3.SA,-34.64410513054017,33.52272727272727,176,0.9209685834976707,-69.45169148624086,6535.589486945983,B3
CYRE3.SA,-35.234541216319805,33.51648351648351,182,0.9051063731730858,-65.89222630669119,6476.54587836802,B3
ELET6.SA,-36.60829565281168,33.14285714285714,175,0.8305647424937197,-63.175543199969475,6339.170434718832,B3
EMBR3.SA,-38.55314408007704,32.544378698224854,169,0.8608611816714256,-64.63820107114357,6144.6855919922955,B3
B3SA3.SA,-46.8928720542357,30.21978021978022,182,0.8394488447898721,-56.26429130365109,5310.71279457643,B3
ELET3.SA,-47.64134435130099,32.04419889502763,181,0.808286728509143,-66.81289384917515,5235.865564869901,B3
TASA4.SA,-51.09698466402822,32.64248704663213,193,0.9065189680233803,-78.03838433953757,4890.301533597178,B3
VALE3.SA,-52.261780448529095,32.62032085561498,187,0.7949514576154207,-67.58395717240202,4773.821955147091,B3
RECV3.SA,-53.277695852601404,26.0,100,0.7274107219985995,-65.58332120440788,4672.23041473986,B3
SANB11.SA,-53.40553118419845,28.49162011173184,179,0.8131816335124279,-69.30651023875683,4659.446881580155,B3
KLBN11.SA,-54.03308775305333,27.27272727272727,165,0.7573712163152279,-59.50364320957292,4596.691224694667,B3
EQTL3.SA,-54.08647619261775,26.543209876543212,162,0.7760757393602804,-66.17778243705581,4591.352380738224,B3
YDUQ3.SA,-55.11433085567135,28.75816993464052,153,0.8146753075001366,-66.9291826524476,4488.566914432865,B3
MRVE3.SA,-56.324894230746246,29.714285714285715,175,0.8574045433433646,-71.04400054270127,4367.510576925375,B3
POMO4.SA,-56.46317097645996,30.158730158730158,189,0.8200493738559805,-66.67829359885023,4353.682902354004,B3
