group,windows,trades,agg_pf
"""wfo-20251017-181424""",5,39,1.337717010864283
"""wfo-20251017-183549""",6,16,0.5377340431907508
"""wfo-20251017-184405""",6,38,0.9049749904329657
"""wfo-20251017-184450""",6,39,0.6742595788644071
"""wfo-20251017-184543""",1,6,25.519698009597096
"""wfo-20251017-191358""",6,35,1.3448898962239961
"""wfo-20251017-192000""",6,38,1.1750636042127223
"""wfo-20251017-192400""",6,39,0.6021128770806224
"""wfo-20251017-192808""",6,46,0.4901592011210547
"""wfo-20251017-193046""",6,47,0.42905264116653163
"""wfo-20251017-193338""",6,40,0.6473143444428999
"""wfo-20251017-194036""",6,40,0.6473143444428999
"""wfo-20251017-194350""",6,37,0.5646083707997503
"""wfo-20251017-194653""",6,40,0.5178098825894254
"""wfo-20251017-194850""",6,40,0.5178098825894254
"""wfo-20251017-195035""",6,45,0.474838554523818
"""wfo-20251020-102751""",6,18,2.999631554065129
"""wfo-20251020-103518""",3,5,2.194349377894178
"""wfo-20251020-104350""",4,11,5.327290100666759
"""wfo-20251020-112057""",4,11,5.327290100666759
"""wfo-20251020-112811""",4,11,5.327290100666759
"""wfo-20251020-113821""",4,11,5.327290100666759
"""wfo-20251020-114627""",4,11,5.327290100666759
"""wfo-20251020-115326""",4,11,5.327290100666759
